title,author,series_name,series_index,isbn13,isbn10,asin,publish_date,print_cost,cover_price,royalty_percent_distribution,royalty_percent_handsold,cover_image
"The Long Way to a Small, Angry Planet",Becky Chambers,Wayfarers,1,9780062444134,0062444131,B00ZP64F28,2014/07,6,14.99,50,20,9780062444134.jpg
A Closed and Common Orbit,Becky Chambers,Wayfarers,2,9780062569400,0062569406,B01CNLOZ3G,2016/10,5,12.99,50,20,
Record of a Spaceborn Few,Becky Chambers,Wayfarers,3,9780062699220,0062699229,B072BFJCB9,2018/07,5.5,13.99,50,20,9780062699220.png
"The Galaxy, and the Ground Within",Becky Chambers,Wayfarers,4,9780062936042,0062936042,B088RDCLQ4,2021/02,6,14.99,50,20,
All Systems Red,Martha Wells,The Murderbot Diaries,1,9780765397539,0765397536,B01MYZ8X5C,2017/05,4,9.99,50,20,9780765397539.jpg
Artificial Condition,Martha Wells,The Murderbot Diaries,2,9780765397546,0765397544,B075DGHHQL,2018/08,6,14.99,50,20,
Rogue Protocol,Martha Wells,The Murderbot Diaries,3,9781250191786,1250191785,B0756JSWGL,2018/08,5.5,12.99,50,20,
Ancillary Justice,Ann Leckie,,,9780316246620,0316246622,B00BAXFDLM,2013/10,4.5,10.99,50,20,
The Hobbit, J.R.R. Tolkien,,,9780547928227,054792822X,B007978NU6,1937/08,4,9.99,50,20,9780547928227.gif
The Fellowship of the Ring,J.R.R. Tolkien,The Lord of the Rings,1,9780547928210,0547928211,,1954/07,10,18.99,50,20,9780547928210.gif
The Two Towers,J.R.R. Tolkien,The Lord of the Rings,2,9780547928203,0547928203,,1954/11,9.2,16.99,50,20,9780547928203.webp
The Return of the King,J.R.R. Tolkien,The Lord of the Rings,3,9780547928197,054792819X,,1955/10,10.2,19.99,50,20,9780547928197.png
The Martian,Andy Weir,,,9780553418026,0553418025,,2014/02,3,9.99,50,20,9780553418026.webp
Ready Player One,Ernest Cline,,,9780307887436,030788743X,,2011/08,4,12.99,60,25,9780307887436.jpg
The Hitchhiker's Guide to the Galaxy,Douglas Adams,,,9780345391803,0345391802,B000XUBC2C,1979/10,2,7.5,50,20,9780345391803.png
The Night Circus,Erin Morgenstern,,,9780307744432,0307744434,,2011/09,4,10.99,50,20,9780307744432.jpg

