ISBN,Title,Author,Format,Gross Qty,Returned Qty,Net Qty,Net Compensation,Sales Market
9781473619814,"The Long Way to a Small, Angry Planet","Chambers, Becky",Paperback,5,0,5,18.05,US
9780062569400,A Closed and Common Orbit,"Chambers, Becky",Paperback,3,0,3,15.42,US
9780062699220,Record of a Spaceborn Few,"Chambers, Becky",Paperback,4,0,4,20.84,US
9781473619814,"The Long Way to a Small, Angry Planet","Chambers, Becky",Paperback,1,0,1,5.11,UK
9780062936042,"The Galaxy, and the Ground Within","Chambers, Becky",Paperback,9,0,9,54.27,US
9780765397539,All Systems Red,"Wells, Martha",Paperback,11,0,11,28.93,US
9781250186928,Artificial Condition,"Wells, Martha",Paperback,8,0,8,17.44,US
9781250191786,Ancillary Justice,"Leckie, Ann",Paperback,7,0,7,111.44,US
9780316565172,Ancillary Justice,"Leckie, Ann",Paperback,2,0,2,6.94,IN (Global Connect)
,,,,,,,,
,,,,,,,278.44,
